2022 local authorities: county,No qualifications,Level 1 and entry level qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications or above,Other qualifications
Darlington,"4,306","4,190","6,925","2,845","11,297","17,750",789
County Durham,"19,076","19,757","33,256","12,329","51,751","76,809","3,199"
Hartlepool,"3,450","3,108","5,649","2,250","9,155","12,634",602
Middlesbrough,"6,289","4,950","7,551","3,215","11,811","19,000","1,034"
Northumberland,"9,939","12,398","20,706","8,349","32,548","52,321","1,906"
Redcar and Cleveland,"4,664","4,960","8,021","3,586","14,013","18,187",853
Stockton-on-Tees,"6,564","7,049","12,026","4,663","19,589","33,075","1,208"
Gateshead,"7,571","7,769","12,388","4,959","18,340","33,034","1,356"
Newcastle upon Tyne,"10,502","9,003","13,075","4,952","19,483","56,830","1,925"
North Tyneside,"6,358","7,864","13,435","4,906","20,085","41,301","1,285"
South Tyneside,"4,657","5,687","9,229","3,969","14,766","21,911",913
Sunderland,"10,889","12,288","18,654","7,098","25,575","37,663","1,873"
Blackburn with Darwen,"7,884","6,295","8,351","3,186","11,872","22,387","1,541"
Blackpool,"6,713","6,188","9,515","3,353","12,980","17,659","1,137"
Cheshire East,"13,090","14,594","24,436","8,843","38,758","85,869","2,827"
Cheshire West and Chester,"11,495","13,894","22,036","7,393","34,674","72,558","2,410"
Halton,"5,354","6,098","10,347","2,799","13,458","18,209","1,021"
Warrington,"7,354","9,091","14,616","4,941","21,314","41,620","1,725"
Cumbria,"19,820","21,704","32,757","16,430","53,794","83,254","3,780"
Bolton,"14,021","12,217","17,266","6,656","25,127","43,816","2,527"
Bury,"7,078","7,421","12,504","4,086","17,402","36,270","1,597"
Manchester,"23,276","15,856","21,229","7,620","30,962","116,028","4,997"
Oldham,"12,387","10,073","13,691","5,625","19,868","31,769","2,065"
Rochdale,"10,992","8,943","13,098","5,186","19,671","32,136","1,961"
Salford,"11,418","10,209","15,853","5,895","22,112","54,415","2,457"
Stockport,"8,908","10,694","17,725","6,363","26,586","64,937","1,805"
Tameside,"10,610","11,067","16,740","6,307","23,352","33,266","1,983"
Trafford,"5,746","7,212","11,912","3,918","18,464","60,396","1,402"
Wigan,"13,887","15,267","25,035","9,371","34,339","50,459","2,534"
Lancashire,"47,407","48,265","73,957","30,357","118,219","210,237","9,503"
Knowsley,"8,187","6,929","10,617","3,611","15,046","22,296","1,171"
Liverpool,"20,640","16,300","24,138","8,479","35,864","85,087","3,655"
Sefton,"10,377","11,243","17,442","6,243","26,964","47,056","2,068"
St. Helens,"7,380","7,672","12,480","4,481","18,234","29,128","1,368"
Wirral,"9,542","11,257","19,929","6,761","31,170","55,820","1,919"
East Riding of Yorkshire,"11,981","14,320","21,796","9,272","34,470","58,125","2,583"
"Kingston upon Hull, City of","16,570","12,753","17,075","8,532","23,652","32,169","3,301"
North East Lincolnshire,"8,121","8,120","11,793","4,097","14,612","18,869","1,497"
North Lincolnshire,"8,147","8,241","11,846","5,015","16,660","22,658","1,791"
York,"5,926","6,582","10,398","4,309","16,241","45,699","1,154"
North Yorkshire,"21,580","25,045","39,757","16,803","62,308","117,606","4,401"
Barnsley,"13,347","11,572","17,387","6,982","24,476","33,414","2,278"
Doncaster,"17,616","14,922","21,875","8,712","29,620","39,148","3,209"
Rotherham,"12,146","12,647","19,738","7,307","26,207","35,142","2,070"
Sheffield,"21,143","20,575","28,114","11,938","41,463","102,975","3,770"
Bradford,"27,504","22,258","28,659","11,105","41,470","78,523","5,013"
Calderdale,"8,054","8,319","12,625","5,047","20,088","35,776","1,439"
Kirklees,"19,125","16,971","24,118","10,221","38,612","71,853","3,432"
Leeds,"32,439","30,959","43,015","16,517","63,699","165,082","6,238"
Wakefield,"20,172","17,303","25,809","9,565","34,486","50,698","3,377"
Derby,"11,453","10,947","14,995","6,178","21,761","43,256","2,715"
Leicester,"28,048","16,128","16,804","6,233","20,116","52,711","6,496"
Nottingham,"14,405","11,496","15,291","5,679","20,215","49,176","3,065"
Rutland,"1,014","1,463","2,482",934,"4,032","8,255",238
Derbyshire,"30,618","36,887","56,048","21,967","85,502","134,636","5,867"
Leicestershire,"25,968","31,622","46,356","18,989","72,841","134,601","5,449"
Lincolnshire,"35,024","36,001","51,953","20,577","76,817","110,851","8,224"
Nottinghamshire,"32,562","36,725","54,099","21,070","82,962","144,056","6,788"
North Northamptonshire,"19,048","20,148","27,306","10,441","35,858","57,404","4,482"
West Northamptonshire,"20,718","21,689","29,266","11,292","40,325","80,633","5,169"
"Herefordshire, County of","8,455","7,878","12,117","4,983","18,672","32,812","1,859"
Shropshire,"11,819","13,455","22,022","8,483","33,173","57,835","2,482"
Stoke-on-Trent,"15,141","11,942","17,740","7,019","22,430","31,974","2,575"
Telford and Wrekin,"8,308","8,654","13,328","4,398","18,925","27,896","1,933"
Staffordshire,"36,827","40,000","60,869","22,053","90,189","147,612","7,225"
Warwickshire,"23,189","25,632","37,044","13,655","55,643","124,434","5,253"
